               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.014232,           0.0074394,                   0,             0.91816,             0.92901,             0.96352,             0.82976,            0.015141,           0.0050342,                   0,            0.003796,            0.003796,            0.003796
                  96,             0.01389,           0.0070854,                   0,             0.92538,              0.9172,              0.9614,             0.81891,             0.01495,            0.004794,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.014009,           0.0072129,                   0,             0.93297,             0.90446,             0.96167,             0.82629,            0.014833,           0.0047025,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.014041,           0.0069469,                   0,             0.92762,             0.89809,             0.95895,             0.82067,             0.01483,           0.0048483,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.013847,           0.0074565,                   0,             0.90761,             0.91083,             0.95956,             0.82952,            0.014622,           0.0049404,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.013963,           0.0070964,                   0,             0.91181,             0.92193,             0.96042,             0.82368,            0.014889,            0.004834,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.013078,           0.0070187,                   0,             0.91189,             0.92291,              0.9631,             0.83086,            0.014569,            0.004677,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.013375,           0.0070499,                   0,             0.91494,             0.92357,             0.96885,             0.83117,            0.014951,           0.0047533,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.013207,            0.006923,                   0,             0.93339,             0.89255,             0.96908,             0.82236,            0.015146,           0.0050376,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.013237,           0.0071798,                   0,             0.85365,             0.96597,             0.96336,             0.81469,            0.014811,            0.004926,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.013159,            0.007175,                   0,              0.8996,             0.92357,             0.96754,             0.82454,            0.014739,           0.0050173,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.012446,           0.0069422,                   0,             0.90166,             0.93441,             0.96648,             0.82044,            0.014908,           0.0047236,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.013281,           0.0074488,                   0,              0.9335,             0.89411,             0.96443,              0.8318,            0.014753,           0.0048683,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.012681,           0.0070689,                   0,             0.91138,             0.91703,             0.96168,             0.83081,            0.014801,           0.0048234,                   0,            0.002938,            0.002938,            0.002938
                 109,              0.0129,           0.0074459,                   0,             0.88483,             0.92977,             0.95302,             0.82077,            0.014373,           0.0048118,                   0,            0.002872,            0.002872,            0.002872
                 110,              0.0133,           0.0072815,                   0,             0.89801,              0.9172,             0.95574,             0.81623,            0.014553,           0.0049383,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.012946,            0.006814,                   0,             0.88784,              0.9172,              0.9529,             0.81673,            0.014768,           0.0052205,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.012463,           0.0071243,                   0,              0.9276,             0.89768,             0.95861,             0.82034,             0.01515,            0.005053,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.012919,           0.0073147,                   0,             0.92439,             0.90446,             0.96023,             0.82128,            0.014985,           0.0050343,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.013362,           0.0065387,                   0,             0.86736,             0.95796,             0.95777,             0.82554,            0.014741,           0.0052572,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.012725,           0.0070384,                   0,             0.88611,             0.94157,             0.96048,             0.82064,            0.014845,           0.0052063,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.011963,           0.0066738,                   0,             0.90091,             0.92657,             0.95483,             0.82438,            0.014849,           0.0052708,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.012644,           0.0068028,                   0,              0.8838,             0.92994,             0.94901,             0.82175,            0.014791,           0.0052531,                   0,            0.002344,            0.002344,            0.002344
